2,2409.3
3,1758.96
4,1085.28
5,805.374
6,216.548
7,108.013
8,65.2305
9,49.6816
10,31.6779
11,26.0052
12,18.9469
13,13.0858
14,9.81021
15,14.1416
16,9.98659
17,9.8244
18,7.83047
19,4.95064
20,4.95338
21,4.67129
22,3.67161
23,3.20266
24,4.21909
25,2.59012
26,2.8536
27,2.94545
28,3.70705
29,7.05254
30,4.53174
2,5265.73
3,2904.03
4,820.222
5,563.811
6,368.64
7,164.488
8,127.638
9,109.567
10,106.578
11,78.873
12,68.348
13,57.3506
14,45.4144
15,51.038
16,38.0853
17,45.4724
18,40.0043
19,26.9597
20,21.2914
21,20.4697
22,13.3943
23,6.65223
24,6.36977
25,8.48994
26,4.65359
27,4.51091
28,8.21023
29,7.111
30,5.04134
2,25866
3,12012
4,1828.84
5,1141.06
6,212.27
7,73.2835
8,24.037
9,14.509
10,5.66401
11,9.23653
12,11.7065
13,5.1335
14,6.08083
15,14.1501
16,7.85202
17,6.37286
18,1.48444
19,2.24673
20,2.82968
21,3.19632
22,1.8615
23,2.11016
24,1.68602
25,1.55092
26,1.08969
27,0.654763
28,1.85614
29,1.37415
30,1.37246
2,5378.93
3,2330.57
4,598.699
5,678.681
6,400.669
7,248.742
8,153.4
9,114.157
10,93.2795
11,73.824
12,74.846
13,51.7002
14,34.6676
15,43.1456
16,33.6857
17,28.5132
18,23.1092
19,26.8762
20,25.7059
21,23.2255
22,20.2236
23,12.2654
24,11.5392
25,4.65546
26,4.51073
27,3.89795
28,3.94296
29,2.18027
30,3.2813
2,2569
3,2262.53
4,1002.22
5,593.22
6,145.563
7,59.6607
8,42.5674
9,16.782
10,26.1155
11,15.5837
12,19.6741
13,10.963
14,11.2848
15,9.94675
16,8.1048
17,3.62922
18,6.43251
19,7.77832
20,7.93304
21,8.13375
22,7.26274
23,5.32771
24,5.52705
25,2.71104
26,4.26662
27,3.18012
28,2.43946
29,3.28001
30,3.53451
2,11508.1
3,2831.76
4,1820.12
5,1112.25
6,741.946
7,212.549
8,106.188
9,22.5585
10,10.0981
11,4.09995
12,3.18144
13,4.45477
14,3.35191
15,3.98889
16,4.36461
17,2.7081
18,1.5214
19,1.62882
20,1.87056
21,1.62669
22,1.8393
23,1.91404
24,1.89891
25,4.07865
26,8.31599
27,4.81028
28,4.61844
29,9.7154
30,2.21074
2,2353.08
3,1485.43
4,414.291
5,179.209
6,82.8726
7,78.3188
8,65.875
9,38.0879
10,38.4563
11,31.5423
12,38.2096
13,32.2381
14,30.8196
15,24.5482
16,26.5537
17,25.5073
18,18.0744
19,17.6787
20,17.6768
21,16.5106
22,13.9046
23,14.2661
24,10.497
25,9.34467
26,7.84994
27,7.42341
28,5.72451
29,7.89798
30,5.92442
2,5265.73
3,2904.03
4,820.222
5,563.811
6,368.64
7,164.488
8,127.638
9,109.567
10,106.578
11,78.873
12,68.348
13,57.3506
14,45.4144
15,51.038
16,38.0853
17,45.4724
18,40.0043
19,26.9597
20,21.2914
21,20.4697
22,13.3943
23,6.65223
24,6.36977
25,8.48994
26,4.65359
27,4.51091
28,8.21023
29,7.111
30,5.04134
2,25866
3,12012
4,1828.84
5,1141.06
6,212.27
7,73.2835
8,24.037
9,14.509
10,5.66401
11,9.23653
12,11.7065
13,5.1335
14,6.08083
15,14.1501
16,7.85202
17,6.37286
18,1.48444
19,2.24673
20,2.82968
21,3.19632
22,1.8615
23,2.11016
24,1.68602
25,1.55092
26,1.08969
27,0.654763
28,1.85614
29,1.37415
30,1.37246
2,2569
3,2262.53
4,1002.22
5,593.22
6,145.563
7,59.6607
8,42.5674
9,16.782
10,26.1155
11,15.5837
12,19.6741
13,10.963
14,11.2848
15,9.94675
16,8.1048
17,3.62922
18,6.43251
19,7.77832
20,7.93304
21,8.13375
22,7.26274
23,5.32771
24,5.52705
25,2.71104
26,4.26662
27,3.18012
28,2.43946
29,3.28001
30,3.53451
2,9948.22
3,6183.85
4,1855.53
5,608.178
6,309.782
7,192.522
8,98.747
9,50.2651
10,30.796
11,20.5675
12,21.3796
13,7.35619
14,9.17121
15,8.94717
16,6.2041
17,6.96788
18,5.38566
19,9.7463
20,4.3242
21,5.46331
22,5.98867
23,2.84612
24,4.2567
25,2.41608
26,2.87576
27,2.39635
28,2.21004
29,1.65272
30,2.25542
2,38053.8
3,4607.82
4,3009
5,1362.66
6,571.54
7,221.342
8,89.774
9,90.0066
10,48.5496
11,36.2728
12,41.0458
13,30.8634
14,20.8004
15,21.8831
16,12.6772
17,10.1846
18,7.34906
19,5.70852
20,6.90538
21,3.75643
22,3.69795
23,5.17224
24,3.7378
25,1.87627
26,5.90692
27,5.28158
28,4.21552
29,3.12296
30,3.57421
2,39928.4
3,15013.6
4,2173.96
5,1666.09
6,894.538
7,204.381
8,107.721
9,102.182
10,75.7638
11,67.2959
12,47.4399
13,25.8032
14,27.2773
15,21.7556
16,20.6708
17,26.3769
18,22.2765
19,22.956
20,18.0004
21,21.0033
22,16.6022
23,14.2168
24,17.1703
25,11.1297
26,12.512
27,3.54919
28,8.46565
29,3.50171
30,5.08125
